# Q Iq dIq dQ fit
3.675999999999999823e-01 1.082999999999999963e+00 6.825999999999999603e-03 1.814999999999999947e-02 1.095275277677259629e+00
3.721999999999999753e-01 1.088999999999999968e+00 6.829000000000000001e-03 1.836000000000000132e-02 1.095240119056647865e+00
3.768000000000000238e-01 1.090000000000000080e+00 6.640000000000000069e-03 1.856000000000000011e-02 1.095205003281285894e+00
3.814000000000000168e-01 1.084000000000000075e+00 6.579999999999999911e-03 1.875999999999999890e-02 1.095173424181473232e+00
3.859000000000000208e-01 1.096000000000000085e+00 7.262000000000000226e-03 1.897000000000000075e-02 1.095142674108638747e+00
3.905000000000000138e-01 1.090000000000000080e+00 7.471000000000000210e-03 1.916999999999999954e-02 1.095113094985019409e+00
3.950000000000000178e-01 1.086999999999999966e+00 7.706000000000000176e-03 1.936999999999999833e-02 1.095086337696576928e+00
3.995000000000000218e-01 1.090999999999999970e+00 7.028000000000000393e-03 1.957000000000000059e-02 1.095061452969518179e+00
4.040000000000000258e-01 1.100999999999999979e+00 7.246999999999999970e-03 1.976999999999999938e-02 1.095038323301295469e+00
4.083999999999999853e-01 1.080999999999999961e+00 6.389999999999999847e-03 1.997000000000000164e-02 1.095017333471515419e+00
4.128999999999999893e-01 1.102999999999999980e+00 7.415999999999999849e-03 2.016000000000000084e-02 1.094998715683836776e+00
4.173000000000000043e-01 1.082999999999999963e+00 7.300000000000000065e-03 2.035999999999999963e-02 1.094980821000682614e+00
4.217000000000000193e-01 1.086999999999999966e+00 7.104000000000000072e-03 2.055999999999999842e-02 1.094964377719988224e+00
4.260999999999999788e-01 1.094999999999999973e+00 6.905999999999999812e-03 2.076000000000000068e-02 1.094949350012831557e+00
4.304999999999999938e-01 1.084000000000000075e+00 7.281000000000000145e-03 2.094999999999999987e-02 1.094935686030572342e+00
4.348000000000000198e-01 1.082999999999999963e+00 6.689999999999999766e-03 2.114999999999999866e-02 1.094923525494009287e+00
4.391999999999999793e-01 1.096999999999999975e+00 6.117000000000000041e-03 2.134000000000000133e-02 1.094913226813907015e+00
4.435000000000000053e-01 1.086000000000000076e+00 6.878000000000000433e-03 2.154000000000000012e-02 1.094903452091988250e+00
4.477999999999999758e-01 1.100999999999999979e+00 6.897000000000000353e-03 2.172999999999999932e-02 1.094894672434781002e+00
4.521000000000000019e-01 1.084999999999999964e+00 7.799000000000000377e-03 2.191999999999999851e-02 1.094886794078910874e+00
4.562999999999999834e-01 1.104000000000000092e+00 7.669999999999999735e-03 2.211000000000000118e-02 1.094879804670738865e+00
4.606000000000000094e-01 1.102999999999999980e+00 7.920999999999999222e-03 2.230000000000000038e-02 1.094873408565362194e+00
4.647999999999999909e-01 1.106999999999999984e+00 7.261000000000000093e-03 2.248999999999999957e-02 1.094867743519603476e+00
4.689999999999999725e-01 1.096999999999999975e+00 7.148999999999999973e-03 2.267999999999999877e-02 1.094863052913320534e+00
4.732000000000000095e-01 1.084000000000000075e+00 7.721000000000000432e-03 2.287000000000000144e-02 1.094858353090354175e+00
4.773999999999999910e-01 1.082999999999999963e+00 6.675999999999999643e-03 2.306000000000000064e-02 1.094854049161177123e+00
4.814999999999999836e-01 1.088999999999999968e+00 8.625999999999999987e-03 2.324999999999999983e-02 1.094850229857183166e+00
4.855999999999999761e-01 1.090999999999999970e+00 6.889000000000000158e-03 2.343999999999999903e-02 1.094846697561275617e+00
4.897000000000000242e-01 1.082000000000000073e+00 8.576000000000000290e-03 2.361999999999999864e-02 1.094843572426294598e+00
4.938000000000000167e-01 1.094000000000000083e+00 7.891000000000000444e-03 2.381000000000000130e-02 1.094840965343089723e+00
4.979000000000000092e-01 1.094000000000000083e+00 7.157000000000000167e-03 2.399000000000000091e-02 1.094838452263152240e+00
