z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 normarea tetherg headgroup1_2 methyl1 tether methyl2 headgroup1 summol water waterperc
44.5 41.231782 0.0 9.1e-05 0.0 32.678806 3.659963 1.50415 184.0 0.711647 0.001087 7.450663 0.27367 4.627191 0.00262 92.14167 91.85833 0.499230054348
45.0 41.902482 0.0 4.9e-05 0.0 29.166654 4.131805 1.691553 184.0 0.564663 0.000842 7.091261 0.207565 4.466485 0.002025 89.225384 94.774616 0.515079434783
45.5 42.187076 0.0 2.6e-05 0.0 25.81246 4.625598 1.886012 184.0 0.443554 0.000646 6.681571 0.155989 4.268088 0.00155 86.06257 97.93743 0.532268641304
46.0 42.077635 0.0 1.3e-05 0.0 22.650327 5.135518 2.084886 184.0 0.344934 0.000491 6.232472 0.116151 4.037569 0.001176 82.681172 101.318828 0.550645804348
46.5 41.577213 0.0 7e-06 0.0 19.706138 5.654735 2.285147 184.0 0.265558 0.00037 5.755309 0.08569 3.781164 0.000884 79.112215 104.887785 0.570042309783
47.0 40.699702 0.0 3e-06 0.0 16.997689 6.175541 2.48344 184.0 0.202401 0.000276 5.261427 0.062631 3.505502 0.000658 75.38927 108.61073 0.590275706522
47.5 39.469195 0.0 2e-06 0.0 14.535129 6.689522 2.676171 184.0 0.152722 0.000204 4.761732 0.045352 3.217318 0.000486 71.547833 112.452167 0.611153081522
48.0 37.918891 0.0 1e-06 0.0 12.321623 7.187778 2.85961 184.0 0.114083 0.00015 4.266316 0.032533 2.923188 0.000355 67.624528 116.375472 0.632475391304
48.5 36.089607 0.0 0.0 0.0 10.354194 7.66117 3.030005 184.0 0.084367 0.000109 3.784144 0.02312 2.629291 0.000257 63.656264 120.343736 0.654042043478
49.0 34.028001 0.0 0.0 0.0 8.624695 8.100597 3.18371 184.0 0.061767 7.8e-05 3.322835 0.016275 2.341205 0.000184 59.679347 124.320653 0.675655722826
49.5 31.784606 0.0 0.0 0.0 7.120822 8.497281 3.317306 184.0 0.044768 5.6e-05 2.888528 0.011349 2.063762 0.000131 55.728609 128.271391 0.697127125
50.0 29.411788 0.0 0.0 0.0 5.827143 8.843056 3.427732 184.0 0.032123 3.9e-05 2.485827 0.007839 1.800937 9.2e-05 51.836576 132.163424 0.718279478261
50.5 26.961752 0.0 0.0 0.0 4.72608 9.13064 3.512394 184.0 0.022819 2.7e-05 2.117833 0.005364 1.55581 6.4e-05 48.032783 135.967217 0.738952266304
51.0 24.484683 0.0 0.0 0.0 3.798808 9.353887 3.569267 184.0 0.016048 1.9e-05 1.786237 0.003635 1.330558 4.4e-05 44.343186 139.656814 0.759004423913
51.5 22.027132 0.0 0.0 0.0 3.026049 9.507995 3.596974 184.0 0.011173 1.3e-05 1.491465 0.00244 1.126497 3e-05 40.789768 143.210232 0.778316478261
52.0 19.630699 0.0 0.0 0.0 2.388742 9.589675 3.594839 184.0 0.007701 9e-06 1.232859 0.001622 0.944159 2.1e-05 37.390326 146.609674 0.796791706522
52.5 17.331049 0.0 0.0 0.0 1.868571 9.597257 3.562913 184.0 0.005255 6e-06 1.008882 0.001068 0.783393 1.4e-05 34.158408 149.841592 0.814356478261
53.0 15.157307 0.0 0.0 0.0 1.448373 9.530746 3.501975 184.0 0.00355 4e-06 0.817324 0.000697 0.643477 9e-06 31.103462 152.896538 0.830959445652
53.5 13.131792 0.0 0.0 0.0 1.112411 9.391811 3.4135 184.0 0.002374 3e-06 0.655502 0.00045 0.523245 6e-06 28.231094 155.768906 0.846570141304
54.0 11.270083 0.0 0.0 0.0 0.846542 9.183713 3.299598 184.0 0.001572 2e-06 0.520452 0.000288 0.421208 4e-06 25.543462 158.456538 0.861176836957
54.5 9.581373 0.0 0.0 0.0 0.638286 8.911187 3.162937 184.0 0.00103 1e-06 0.409085 0.000182 0.335666 3e-06 23.03975 160.96025 0.874783967391
55.0 8.069042 0.0 0.0 0.0 0.476816 8.580262 3.006635 184.0 0.000668 1e-06 0.318327 0.000114 0.264812 2e-06 20.716679 163.283321 0.887409353261
55.5 6.731409 0.0 0.0 0.0 0.352891 8.198049 2.834152 184.0 0.000429 0.0 0.245222 7.1e-05 0.206817 1e-06 18.569041 165.430959 0.899081298913
56.0 5.56257 0.0 0.0 0.0 0.258746 7.772493 2.649158 184.0 0.000273 0.0 0.187013 4.4e-05 0.159902 1e-06 16.5902 167.4098 0.909835869565
56.5 4.553302 0.0 0.0 0.0 0.187946 7.312114 2.455407 184.0 0.000172 0.0 0.141192 2.7e-05 0.122388 0.0 14.772548 169.227452 0.919714413043
57.0 3.691939 0.0 0.0 0.0 0.135242 6.825728 2.256618 184.0 0.000107 0.0 0.10553 1.6e-05 0.092735 0.0 13.107915 170.892085 0.928761331522
57.5 2.965209 0.0 0.0 0.0 0.096404 6.322186 2.056356 184.0 6.6e-05 0.0 0.078085 1e-05 0.069562 0.0 11.587878 172.412122 0.937022402174
58.0 2.35898 0.0 0.0 0.0 0.068072 5.810112 1.857935 184.0 4e-05 0.0 0.057199 6e-06 0.051655 0.0 10.203999 173.796001 0.944543483696
58.5 1.858905 0.0 0.0 0.0 0.047613 5.297682 1.664332 184.0 2.4e-05 0.0 0.041479 3e-06 0.037973 0.0 8.948011 175.051989 0.951369505435
59.0 1.450939 0.0 0.0 0.0 0.032988 4.792419 1.478125 184.0 1.5e-05 0.0 0.029778 2e-06 0.027635 0.0 7.811901 176.188099 0.957544016304
59.5 1.121749 0.0 0.0 0.0 0.022639 4.301037 1.301452 184.0 9e-06 0.0 0.021164 1e-06 0.01991 0.0 6.787961 177.212039 0.963108907609
60.0 0.858999 0.0 0.0 0.0 0.015389 3.829322 1.135991 184.0 5e-06 0.0 0.014891 1e-06 0.0142 0.0 5.868798 178.131202 0.968104358696
60.5 0.65153 0.0 0.0 0.0 0.010361 3.382052 0.982957 184.0 3e-06 0.0 0.010372 0.0 0.010026 0.0 5.047301 178.952699 0.972569016304
61.0 0.48946 0.0 0.0 0.0 0.006909 2.962969 0.843121 184.0 2e-06 0.0 0.007152 0.0 0.007008 0.0 4.316621 179.683379 0.976540103261
61.5 0.364197 0.0 0.0 0.0 0.004563 2.574779 0.716844 184.0 1e-06 0.0 0.004883 0.0 0.004849 0.0 3.670116 180.329884 0.980053717391
62.0 0.268402 0.0 0.0 0.0 0.002985 2.219199 0.604118 184.0 1e-06 0.0 0.0033 0.0 0.003322 0.0 3.101327 180.898673 0.983144961957
62.5 0.195913 0.0 0.0 0.0 0.001934 1.897022 0.504619 184.0 0.0 0.0 0.002208 0.0 0.002253 0.0 2.603949 181.396051 0.985848103261
63.0 0.141632 0.0 0.0 0.0 0.001241 1.608218 0.417766 184.0 0.0 0.0 0.001462 0.0 0.001512 0.0 2.171831 181.828169 0.988196570652
63.5 0.10141 0.0 0.0 0.0 0.000789 1.352041 0.342778 184.0 0.0 0.0 0.000959 0.0 0.001005 0.0 1.798982 182.201018 0.990222923913
64.0 0.071913 0.0 0.0 0.0 0.000496 1.127154 0.278733 184.0 0.0 0.0 0.000622 0.0 0.000661 0.0 1.479579 182.520421 0.991958809783
64.5 0.050507 0.0 0.0 0.0 0.000309 0.931754 0.224616 184.0 0.0 0.0 0.0004 0.0 0.000431 0.0 1.208017 182.791983 0.993434690217
