p2sigma m2sigma msigma psigma zaxis mean
25.99110694 16.010765602 20.277802073 23.153468975 85.0 21.7460425
26.224060749 15.954027843 20.311594951 23.286812026 85.5 21.8518995
26.476724404 15.949821726 20.404798719 23.399225251 86.0 21.983091
26.708123268 15.96978741 20.504282876 23.567257045 86.5 22.1162905
26.96500597 15.906941596 20.672185454 23.723313277 87.0 22.2751
27.296866852 15.926565211 20.833516441 23.901015078 87.5 22.4621885
27.590239677 16.021030452 21.018303846 24.147693931 88.0 22.6831885
27.917177773 16.217322258 21.233267338 24.372903136 88.5 22.943352
28.260335815 16.290951888 21.512604822 24.629571472 89.0 23.212012
28.621592784 16.555676845 21.743379899 24.892790378 89.5 23.499697
28.996929483 16.665453582 21.974926735 25.160322536 90.0 23.795662
29.396145618 16.507952102 22.312342216 25.519869986 90.5 24.121447
29.756515426 16.419591986 22.7015706 25.868013772 91.0 24.481869
30.126390668 16.62284028 23.025145901 26.237198578 91.5 24.8731965
30.514555257 16.800090293 23.374892502 26.679975866 92.0 25.2721285
30.918630906 16.925044274 23.758679147 27.10154956 92.5 25.6900105
31.336946812 17.312889957 24.112568367 27.558167186 93.0 26.1401745
31.851044492 17.690781339 24.530137931 27.997904192 93.5 26.591367
32.349710217 17.913519193 24.964900488 28.502437031 94.0 27.0442435
32.956784408 18.197770245 25.426250201 29.00638966 94.5 27.5411565
33.568773066 18.578090661 25.82211325 29.542330426 95.0 28.04183
34.179724135 19.027790531 26.327570039 30.041920803 95.5 28.535008
34.739597873 19.506512894 26.759266975 30.5587922 96.0 29.0358055
35.316826294 19.840012781 27.266974138 31.091553298 96.5 29.554275
36.008049145 20.208968546 27.778247063 31.634909174 97.0 30.0749415
36.69924215 20.549907166 28.244069531 32.143728848 97.5 30.603303
37.37180512 20.971899543 28.698190667 32.65650451 98.0 31.144992
38.018143806 21.39410244 29.158746579 33.192216737 98.5 31.6563395
38.66484925 21.685960236 29.617585398 33.741502167 99.0 32.180838
39.317778021 22.080270341 30.110906419 34.286083593 99.5 32.6996285
39.925407279 22.702010736 30.603986688 34.849960857 100.0 33.234906
40.52777328 23.059794096 31.08012207 35.386198514 100.5 33.775914
41.161221574 23.56231051 31.567498888 35.952120412 101.0 34.291118
41.781109446 24.148517951 32.034698874 36.544786942 101.5 34.813302
42.50302916 24.761972581 32.620840162 37.173417374 102.0 35.357567
43.183325301 25.333580191 33.215741041 37.753884958 102.5 35.946956
44.048314242 25.910556788 33.840160087 38.378269113 103.0 36.620904
44.843653032 26.461637502 34.533593385 39.185148705 103.5 37.3673695
45.692566469 27.051329462 35.261612072 39.974840955 104.0 38.1504075
46.72805668 27.658726375 36.053659527 40.87362864 104.5 38.9552575
47.838379895 28.385153796 36.878536732 41.84878054 105.0 39.7842535
48.886723779 29.039868291 37.671719706 42.739173185 105.5 40.6336655
49.771370639 29.616754757 38.434551952 43.609650473 106.0 41.452844
50.580336544 30.23728772 39.272076431 44.449730249 106.5 42.219192
50.963398871 30.846816092 39.926001649 45.254406952 107.0 42.9772365
51.259408726 31.369188729 40.554952956 45.903069899 107.5 43.6811955
51.530872582 31.745352685 41.127515714 46.544958823 108.0 44.321648
51.749600658 32.005298442 41.590705835 47.053143491 108.5 44.873429
51.965262028 32.303887504 41.971973098 47.438892433 109.0 45.34882
52.02440951 32.538398226 42.252359713 47.766762526 109.5 45.7270275
52.095803513 32.647971774 42.35228389 47.917181044 110.0 45.994919
51.948438592 32.698221108 42.524180716 47.981919169 110.5 46.1532925
51.861576053 32.70954929 42.6310355 47.965748808 111.0 46.1736795
51.720207548 32.70988698 42.614128994 47.900505749 111.5 46.1681445
51.570910889 32.829824847 42.581763384 47.786238462 112.0 46.120032
51.492569664 33.001811598 42.519499765 47.70498422 112.5 46.04287
51.468934006 33.215798904 42.445561168 47.583784558 113.0 45.9641825
51.430851865 33.30698114 42.370772587 47.482903754 113.5 45.867796
51.305108908 33.337726482 42.280412899 47.35455333 114.0 45.7302705
51.093881811 33.346832632 42.171546521 47.192672942 114.5 45.5749975
50.898851405 33.44530569 42.044842966 47.057816754 115.0 45.411131
50.608709064 33.437569203 41.900915283 46.855889768 115.5 45.212086
50.303856062 33.37483802 41.725195998 46.610623571 116.0 45.031052
50.000327157 33.262883879 41.54639066 46.387386133 116.5 44.805221
49.739295072 33.1427905 41.365080141 46.104070144 117.0 44.5551895
49.50686165 33.003020481 41.123951513 45.841001052 117.5 44.2746675
49.306289823 32.853386289 40.891351486 45.579867191 118.0 43.9798515
49.073988525 32.73966991 40.645110878 45.282207875 118.5 43.7295145
48.783064352 32.557244748 40.385726493 44.988835307 119.0 43.410706
48.467409425 32.358544908 40.09978836 44.682053898 119.5 43.099936
48.061067546 32.1824829 39.805086996 44.380047701 120.0 42.76422
47.607394211 32.03655654 39.536957976 44.047564954 120.5 42.4126445
47.229684311 31.885213026 39.241710146 43.666330301 121.0 42.0447675
46.878709579 31.726282599 38.925111515 43.287075514 121.5 41.6878485
46.44867545 31.487444262 38.593978456 42.888986083 122.0 41.326582
46.010276862 31.195353072 38.261495897 42.515841201 122.5 40.950314
45.564038649 31.0069448 37.910479607 42.141181836 123.0 40.5738845
45.260941672 30.811781228 37.522840897 41.750141043 123.5 40.1740575
44.974970081 30.590783375 37.148583892 41.349226126 124.0 39.7853205
44.506720212 30.252393223 36.772485118 40.943356322 124.5 39.3834825
44.065709069 29.91388047 36.379606735 40.525605359 125.0 38.9743655
43.601992776 29.574083347 36.003280665 40.101996718 125.5 38.536154
43.166554859 29.177797857 35.54222633 39.677880668 126.0 38.112478
42.640627407 28.742551563 35.143571995 39.253153004 126.5 37.6652955
42.18014482 28.539122037 34.741315399 38.838826742 127.0 37.228308
41.756265377 28.331476379 34.381504552 38.415216724 127.5 36.800753
41.292990572 28.135620773 33.9513653 37.999365053 128.0 36.381097
40.855059558 27.942096247 33.526477514 37.566909847 128.5 35.936879
40.419612802 27.635714248 33.131462554 37.127247025 129.0 35.4872045
39.984988271 27.256676012 32.762081641 36.686863198 129.5 35.03549
39.521827571 26.802637653 32.297078971 36.1646074 130.0 34.505912
38.9920516 26.433454617 31.775681846 35.430742081 130.5 33.7717365
38.157938126 25.985025667 30.969498604 34.668185012 131.0 32.925723
37.31528072 25.270668135 30.021388725 33.623901798 131.5 31.9264705
36.002145158 24.270253869 28.921236688 32.443112996 132.0 30.8218735
34.416689175 23.147909392 27.818108562 31.164623027 132.5 29.6585635
32.842296814 22.025334732 26.703848628 29.906052031 133.0 28.5042025
31.22470639 20.932165943 25.496585901 28.733035967 133.5 27.3583315
29.924981536 20.018437375 24.429216065 27.593033227 134.0 26.3201255
28.993217456 19.141640084 23.524433575 26.600836902 134.5 25.444224
28.379523449 18.62722184 22.920522098 25.938419517 135.0 24.7732035
28.069627494 18.247059157 22.548980322 25.477973386 135.5 24.3252445
27.966429515 17.96429889 22.390827647 25.251524684 136.0 24.110781
27.978943473 17.928765149 22.361360565 25.195348146 136.5 24.079601
28.000863136 17.950891856 22.356679949 25.224729881 137.0 24.069435
28.041343276 17.971627922 22.410134518 25.250066431 137.5 24.0974285
