# z rho mu
161.5 1.11538e-05 1.75393e-07
161.5 1.11376e-05 1.76592e-07
162 1.11376e-05 1.76592e-07
162 1.112e-05 1.77887e-07
162.5 1.112e-05 1.77887e-07
162.5 1.11015e-05 1.79256e-07
163 1.11015e-05 1.79256e-07
163 1.10823e-05 1.80677e-07
163.5 1.10823e-05 1.80677e-07
163.5 1.10626e-05 1.82127e-07
164 1.10626e-05 1.82127e-07
164 1.10429e-05 1.83584e-07
164.5 1.10429e-05 1.83584e-07
164.5 1.10234e-05 1.85027e-07
165 1.10234e-05 1.85027e-07
165 1.10043e-05 1.86432e-07
165.5 1.10043e-05 1.86432e-07
165.5 1.09861e-05 1.87778e-07
166 1.09861e-05 1.87778e-07
166 1.0969e-05 1.89042e-07
166.5 1.0969e-05 1.89042e-07
166.5 1.09533e-05 1.90202e-07
167 1.09533e-05 1.90202e-07
167 1.09393e-05 1.91236e-07
167.5 1.09393e-05 1.91236e-07
167.5 1.09259e-05 1.92225e-07
168 1.09259e-05 1.92225e-07
168 1.09122e-05 1.93236e-07
168.5 1.09122e-05 1.93236e-07
168.5 1.08983e-05 1.94265e-07
169 1.08983e-05 1.94265e-07
169 1.08842e-05 1.95308e-07
169.5 1.08842e-05 1.95308e-07
169.5 1.08699e-05 1.9636e-07
170 1.08699e-05 1.9636e-07
170 1.08556e-05 1.97417e-07
170.5 1.08556e-05 1.97417e-07
170.5 1.08413e-05 1.98474e-07
171 1.08413e-05 1.98474e-07
171 1.0827e-05 1.99528e-07
171.5 1.0827e-05 1.99528e-07
171.5 1.08129e-05 2.00573e-07
172 1.08129e-05 2.00573e-07
172 1.07989e-05 2.01606e-07
172.5 1.07989e-05 2.01606e-07
172.5 1.07851e-05 2.02621e-07
173 1.07851e-05 2.02621e-07
173 1.07717e-05 2.03614e-07
173.5 1.07717e-05 2.03614e-07
173.5 1.07586e-05 2.04582e-07
174 1.07586e-05 2.04582e-07
174 1.07459e-05 2.05519e-07
174.5 1.07459e-05 2.05519e-07
174.5 1.07337e-05 2.06421e-07
175 1.07337e-05 2.06421e-07
175 1.0722e-05 2.07283e-07
175.5 1.0722e-05 2.07283e-07
175.5 1.07109e-05 2.08102e-07
176 1.07109e-05 2.08102e-07
176 1.07005e-05 2.08872e-07
176.5 1.07005e-05 2.08872e-07
176.5 1.06908e-05 2.0959e-07
177 1.06908e-05 2.0959e-07
177 1.06818e-05 2.10251e-07
177.5 1.06818e-05 2.10251e-07
177.5 1.06737e-05 2.1085e-07
178 1.06737e-05 2.1085e-07
178 1.06665e-05 2.11384e-07
178.5 1.06665e-05 2.11384e-07
178.5 1.06602e-05 2.11847e-07
179 1.06602e-05 2.11847e-07
