# Q Iq dIq dQ fit
6.572999999999999676e-02 1.316000000000000059e+00 1.332999999999999984e-02 3.727999999999999977e-03 1.318304109557531856e+00
6.640000000000000069e-02 1.296999999999999931e+00 8.613000000000000864e-03 6.681999999999999572e-03 1.318426182434817795e+00
6.705999999999999461e-02 1.298999999999999932e+00 1.230999999999999976e-02 3.778999999999999807e-03 1.288139051576527638e+00
6.837999999999999634e-02 1.276000000000000023e+00 1.391000000000000049e-02 3.831000000000000204e-03 1.260194671924363519e+00
6.970999999999999419e-02 1.254999999999999893e+00 1.306000000000000043e-02 3.883000000000000167e-03 1.234160707072780028e+00
7.102999999999999592e-02 1.217000000000000082e+00 1.246000000000000059e-02 3.936000000000000262e-03 1.207918085863822544e+00
7.169000000000000372e-02 1.197000000000000064e+00 7.288000000000000207e-03 6.799000000000000356e-03 1.207972219620873977e+00
7.234999999999999765e-02 1.199999999999999956e+00 1.260999999999999968e-02 3.988000000000000225e-03 1.184916420746763954e+00
7.366999999999999937e-02 1.165999999999999925e+00 1.166000000000000023e-02 4.041000000000000321e-03 1.163150359803203804e+00
7.499999999999999722e-02 1.151000000000000023e+00 1.197999999999999933e-02 4.094999999999999682e-03 1.142839812092873553e+00
7.631999999999999895e-02 1.120999999999999996e+00 1.240999999999999916e-02 4.147999999999999778e-03 1.122014443247278281e+00
7.698000000000000675e-02 1.108999999999999986e+00 6.917999999999999670e-03 6.923000000000000334e-03 1.120155849709233653e+00
8.226999999999999591e-02 1.034000000000000030e+00 5.232999999999999804e-03 7.053000000000000241e-03 1.047968024300146128e+00
8.755000000000000282e-02 9.750999999999999668e-01 5.466999999999999638e-03 7.190000000000000210e-03 9.900544864198081996e-01
9.281999999999999973e-02 9.318999999999999506e-01 5.048000000000000403e-03 7.331999999999999976e-03 9.409385441780611092e-01
9.808999999999999664e-02 8.918000000000000371e-01 5.569000000000000165e-03 7.479999999999999670e-03 8.978351687832597516e-01
1.034000000000000058e-01 8.569999999999999840e-01 4.357999999999999895e-03 7.631999999999999895e-03 8.587725984543397306e-01
1.086000000000000021e-01 8.250999999999999446e-01 4.447999999999999697e-03 7.790000000000000049e-03 8.267228438469734764e-01
1.139000000000000012e-01 8.025999999999999801e-01 4.497000000000000129e-03 7.950999999999999734e-03 8.028159176453038004e-01
1.190999999999999975e-01 7.845999999999999641e-01 4.244999999999999642e-03 8.116999999999999216e-03 7.858908999015946639e-01
1.243999999999999967e-01 7.750000000000000222e-01 3.621000000000000087e-03 8.285999999999999963e-03 7.714835139254490048e-01
1.295999999999999930e-01 7.576000000000000512e-01 3.562000000000000062e-03 8.458999999999999506e-03 7.591906705147553058e-01
1.348000000000000032e-01 7.403999999999999471e-01 3.085000000000000069e-03 8.635000000000000314e-03 7.467882838110868615e-01
1.400000000000000133e-01 7.285000000000000364e-01 3.412000000000000102e-03 8.814000000000000654e-03 7.353358437778227952e-01
1.451999999999999957e-01 7.190999999999999615e-01 3.677999999999999846e-03 8.996000000000000524e-03 7.253850560860698460e-01
1.504000000000000059e-01 7.207999999999999963e-01 3.131000000000000102e-03 9.180000000000000659e-03 7.168054118917714934e-01
1.555999999999999883e-01 7.062000000000000499e-01 3.246999999999999886e-03 9.367000000000000326e-03 7.094302535152324785e-01
1.607999999999999985e-01 7.004000000000000226e-01 2.954000000000000029e-03 9.556000000000000258e-03 7.031109603765443028e-01
