median_area p2sigma_nsld m2sigma_nsld p2sigma_area median_nsl m2sigma_nsl m2sigma_area psigma_area msigma_nsl msigma_nsld p2sigma_nsl zaxis psigma_nsld psigma_nsl median_nsld msigma_area 
0.248368 4.86789263103e-06 0.0 4.182620688 4.013239e-07 0.0 0.0 2.123389 1.407713296e-08 1.94278113365e-06 5.601003088e-06 35.0 4.07547823136e-06 2.584841592e-06 2.86358186398e-06 0.010296496 
0.289442 4.8545285967e-06 0.0 3.884947576 4.627282e-07 0.0 0.0 2.066751 2.453095952e-08 2.01190993166e-06 5.328806696e-06 35.5 4.0621838275e-06 2.50499944e-06 2.89966153741e-06 0.01972244 
0.337855 4.86861688723e-06 0.0 3.566369032 5.032776e-07 0.0 0.0 1.982517208 3.764935984e-08 2.06599224479e-06 5.062458784e-06 36.0 4.07656884787e-06 2.43563636e-06 2.93162179863e-06 0.025638952 
0.382655 4.92825919925e-06 0.0 3.389016816 5.782071e-07 0.0 0.0 1.91230808 5.076123592e-08 2.09011910162e-06 4.772186552e-06 36.5 4.09496732839e-06 2.446079304e-06 2.92825513961e-06 0.036107848 
0.423701 4.93293775447e-06 0.0 3.311216632 6.275813e-07 0.0 0.000276 1.861576104 6.686968744e-08 2.09618869881e-06 4.400119952e-06 37.0 4.1063529207e-06 2.448385984e-06 2.94036174542e-06 0.04624392 
0.457882 4.96393404117e-06 0.0 3.306403456 6.76266e-07 0.0 0.000651992 1.795444872 7.5943082e-08 2.08767818654e-06 4.290868056e-06 37.5 4.13971619211e-06 2.38560016e-06 2.92994095461e-06 0.053410568 
0.502082 4.9332289347e-06 0.0 3.270048512 7.325862e-07 0.0 0.0003816 1.714112496 8.353486592e-08 2.07968877377e-06 4.265348752e-06 38.0 4.16684303168e-06 2.333530048e-06 2.90572147681e-06 0.05872052 
0.544503 4.98361487468e-06 0.0 3.28258824 7.60767e-07 0.0 0.0 1.601218416 9.335176824e-08 2.05804375934e-06 4.179935816e-06 38.5 4.16073193786e-06 2.233993968e-06 2.89466151424e-06 0.063610432 
0.545981 4.98514005059e-06 0.0 3.090134976 7.960856e-07 0.0 0.0 1.542240528 1.041605384e-07 2.0548424985e-06 4.12965e-06 39.0 4.17210818786e-06 2.13038272e-06 2.87797333437e-06 0.076895344 
0.551866 4.96702318807e-06 0.0 3.17615332 8.109545e-07 0.0 0.0 1.467699272 1.119721096e-07 2.05531703999e-06 4.044820224e-06 39.5 4.16351954452e-06 2.087769248e-06 2.8757302812e-06 0.079582528 
0.573524 4.99803892479e-06 0.0 3.295768264 8.263008e-07 0.0 0.0 1.440869 1.181136824e-07 2.04499897334e-06 4.036801896e-06 40.0 4.13543924306e-06 2.051362696e-06 2.86724382279e-06 0.083568616 
0.598303 4.9972479084e-06 0.0 3.323752512 8.58063e-07 0.0 0.0 1.42259612 1.348409744e-07 2.02721437583e-06 3.862409296e-06 40.5 4.12511882723e-06 2.050086232e-06 2.8807389394e-06 0.093239576 
0.600278 5.04830448057e-06 0.0 3.248207216 8.944946e-07 0.0 0.0 1.388766496 1.50218704e-07 2.00966341616e-06 3.725598592e-06 41.0 4.11040793685e-06 2.034802008e-06 2.8811674049e-06 0.105387888 
0.617985 5.04421177963e-06 0.0 3.234617288 9.261331e-07 0.0 0.0 1.441445616 1.570905968e-07 1.98142787298e-06 3.74321e-06 41.5 4.12227243206e-06 2.035468784e-06 2.88251587882e-06 0.1148724 
0.637207 5.02929298165e-06 0.0 3.047842024 9.687848e-07 0.0 0.0 1.435522896 1.938512832e-07 1.98799999926e-06 3.940273712e-06 42.0 4.13665003272e-06 2.094224512e-06 2.88504733299e-06 0.124677 
0.649617 5.03304996137e-06 0.0 2.977074216 9.662607e-07 0.0 0.0 1.455582784 2.134792136e-07 1.98055546801e-06 3.896037368e-06 42.5 4.12434870432e-06 2.144872224e-06 2.88615294404e-06 0.130722672 
0.668409 4.98825572713e-06 0.0 3.055151872 1.016395e-06 0.0 0.0 1.510539176 2.145701e-07 1.9895578546e-06 4.076001272e-06 43.0 4.1118116436e-06 2.235390152e-06 2.90988897457e-06 0.147123176 
0.696835 4.94210261646e-06 0.0 3.317247952 1.077069e-06 0.0 0.0 1.581684296 2.129745456e-07 1.98632805266e-06 4.475939984e-06 43.5 4.11546470461e-06 2.323659152e-06 2.91175196382e-06 0.138224048 
0.735285 4.98916032561e-06 0.0 3.541423536 1.160484e-06 0.0 0.0 1.65812684 2.199327376e-07 1.98628939857e-06 4.980129464e-06 44.0 4.12689174821e-06 2.436303112e-06 2.93924586986e-06 0.149351984 
0.779 4.98929294928e-06 0.0 4.091800176 1.234063e-06 0.0 0.0 1.7670842 2.236436592e-07 1.9757015952e-06 5.505936464e-06 44.5 4.15651651653e-06 2.707891936e-06 3.00034140716e-06 0.15065992 
0.840053 5.03474029404e-06 0.0 4.488218456 1.297201e-06 0.0 0.0 1.914419176 2.026735088e-07 1.96670769693e-06 5.826060904e-06 45.0 4.12754989654e-06 2.92421336e-06 2.96016608167e-06 0.129277 
0.872834 5.04450054638e-06 0.0 4.93164284 1.375291e-06 0.0 0.0 2.06463324 1.649518616e-07 1.95789264666e-06 6.194007544e-06 45.5 4.1417359909e-06 3.1566292e-06 2.97058126444e-06 0.126283024 
0.926545 5.06006105165e-06 0.0 5.115268968 1.442083e-06 0.0 0.0 2.229449576 1.621423064e-07 1.94597994899e-06 6.416232872e-06 46.0 4.16018318794e-06 3.41568932e-06 2.96094370203e-06 0.104268752 
0.962051 5.06714946833e-06 0.0 5.551780656 1.502653e-06 0.0 0.0 2.414853752 1.492414456e-07 1.92129676344e-06 6.818041248e-06 46.5 4.16713774248e-06 3.588157448e-06 2.93335299437e-06 0.09697964 
1.028795 5.04680979902e-06 0.0 6.094360984 1.610451e-06 0.0 0.0 2.688427664 1.509852864e-07 1.91173079225e-06 7.3349954e-06 47.0 4.2132714388e-06 3.861982256e-06 2.94796242366e-06 0.102640976 
1.071597 5.04365553278e-06 0.0 6.72940388 1.708748e-06 0.0 0.0 2.879564544 1.49734576e-07 1.90347827747e-06 7.737303672e-06 47.5 4.25428358724e-06 4.098927008e-06 2.95491834462e-06 0.098234592 
1.127578 5.04776403198e-06 0.0 7.054468928 1.81814e-06 0.0 0.0 3.123230824 1.504539584e-07 1.89428976782e-06 8.219620048e-06 48.0 4.29694930176e-06 4.494817664e-06 2.96289890474e-06 0.094784704 
1.170067 5.02705531453e-06 0.0 7.587405072 1.922353e-06 0.0 0.0 3.24173236 1.588645824e-07 1.87015098459e-06 8.510526304e-06 48.5 4.33905899531e-06 4.857825776e-06 2.92488884693e-06 0.091095064 
1.225022 5.04039912523e-06 0.0 7.98541188 1.984413e-06 0.0 0.0 3.43554684 1.575924176e-07 1.85655616598e-06 9.31678876e-06 49.0 4.35228805744e-06 5.115328192e-06 2.91864538643e-06 0.09887132 
1.265481 5.09917435117e-06 0.0 8.1485692 2.033529e-06 0.0 0.0 3.644368248 1.630764768e-07 1.84046015951e-06 9.640021392e-06 49.5 4.36836709275e-06 5.32302748e-06 2.88843190446e-06 0.094627992 
1.315387 5.15750802761e-06 0.0 8.482042136 2.102438e-06 0.0 0.0 3.798440968 1.459287288e-07 1.82928505687e-06 9.830687568e-06 50.0 4.37761958241e-06 5.555073592e-06 2.87628889907e-06 0.098062728 
