# z rho mu P theta
284.216 -4.62956e-07 0 0 270
284.716 -4.62956e-07 0 0 270
284.716 -4.63097e-07 0 0 270
285.216 -4.63097e-07 0 0 270
285.216 -4.63225e-07 0 0 270
285.716 -4.63225e-07 0 0 270
285.716 -4.6334e-07 0 0 270
286.216 -4.6334e-07 0 0 270
286.216 -4.63443e-07 0 0 270
286.716 -4.63443e-07 0 0 270
286.716 -4.63533e-07 0 0 270
287.216 -4.63533e-07 0 0 270
287.216 -4.63609e-07 0 0 270
287.716 -4.63609e-07 0 0 270
287.716 -4.63672e-07 0 0 270
288.216 -4.63672e-07 0 0 270
288.216 -4.6372e-07 0 0 270
288.716 -4.6372e-07 0 0 270
288.716 -4.63752e-07 0 0 270
289.216 -4.63752e-07 0 0 270
289.216 -4.63767e-07 0 0 270
289.716 -4.63767e-07 0 0 270
289.716 -4.63762e-07 0 0 270
290.216 -4.63762e-07 0 0 270
290.216 -4.63733e-07 0 0 270
290.716 -4.63733e-07 0 0 270
290.716 -4.63678e-07 0 0 270
291.216 -4.63678e-07 0 0 270
291.216 -4.6359e-07 0 0 270
291.716 -4.6359e-07 0 0 270
291.716 -4.63465e-07 0 0 270
292.216 -4.63465e-07 0 0 270
292.216 -4.63308e-07 0 0 270
292.716 -4.63308e-07 0 0 270
292.716 -4.63123e-07 0 0 270
293.216 -4.63123e-07 0 0 270
293.216 -4.62914e-07 0 0 270
293.716 -4.62914e-07 0 0 270
293.716 -4.62684e-07 0 0 270
294.216 -4.62684e-07 0 0 270
294.216 -4.62433e-07 0 0 270
294.716 -4.62433e-07 0 0 270
294.716 -4.62165e-07 0 0 270
295.216 -4.62165e-07 0 0 270
295.216 -4.61881e-07 0 0 270
295.716 -4.61881e-07 0 0 270
295.716 -4.61583e-07 0 0 270
296.216 -4.61583e-07 0 0 270
296.216 -4.61274e-07 0 0 270
296.716 -4.61274e-07 0 0 270
296.716 -4.60955e-07 0 0 270
297.216 -4.60955e-07 0 0 270
297.216 -4.60627e-07 0 0 270
297.716 -4.60627e-07 0 0 270
297.716 -4.60293e-07 0 0 270
298.216 -4.60293e-07 0 0 270
298.216 -4.59954e-07 0 0 270
298.716 -4.59954e-07 0 0 270
298.716 -4.59612e-07 0 0 270
299.216 -4.59612e-07 0 0 270
299.216 -4.5927e-07 0 0 270
299.716 -4.5927e-07 0 0 270
299.716 -4.58928e-07 0 0 270
300.216 -4.58928e-07 0 0 270
300.216 -4.58589e-07 0 0 270
300.716 -4.58589e-07 0 0 270
300.716 -4.58254e-07 0 0 270
301.216 -4.58254e-07 0 0 270
301.216 -4.57926e-07 0 0 270
301.716 -4.57926e-07 0 0 270
301.716 -4.57607e-07 0 0 270
302.216 -4.57607e-07 0 0 270
302.216 -4.57299e-07 0 0 270
302.716 -4.57299e-07 0 0 270
302.716 -4.57004e-07 0 0 270
303.216 -4.57004e-07 0 0 270
303.216 -4.56725e-07 0 0 270
303.716 -4.56725e-07 0 0 270
303.716 -4.56463e-07 0 0 270
304.216 -4.56463e-07 0 0 270
304.216 -4.56221e-07 0 0 270
304.716 -4.56221e-07 0 0 270
304.716 -4.56001e-07 0 0 270
305.216 -4.56001e-07 0 0 270
305.216 -4.55807e-07 0 0 270
305.716 -4.55807e-07 0 0 270
305.716 -4.55639e-07 0 0 270
306.216 -4.55639e-07 0 0 270
306.216 -4.55501e-07 0 0 270
306.716 -4.55501e-07 0 0 270
306.716 -4.55395e-07 0 0 270
307.216 -4.55395e-07 0 0 270
307.216 -4.55323e-07 0 0 270
307.716 -4.55323e-07 0 0 270
307.716 -4.55287e-07 0 0 270
308.216 -4.55287e-07 0 0 270
308.216 -4.5529e-07 0 0 270
308.716 -4.5529e-07 0 0 270
308.716 -4.55413e-07 0 0 270
309.216 -4.55413e-07 0 0 270
309.216 -4.55615e-07 0 0 270
309.716 -4.55615e-07 0 0 270
309.716 -4.55847e-07 0 0 270
310.216 -4.55847e-07 0 0 270
310.216 -4.56107e-07 0 0 270
310.716 -4.56107e-07 0 0 270
310.716 -4.56393e-07 0 0 270
311.216 -4.56393e-07 0 0 270
311.216 -4.56703e-07 0 0 270
311.716 -4.56703e-07 0 0 270
311.716 -4.57034e-07 0 0 270
312.216 -4.57034e-07 0 0 270
312.216 -4.57384e-07 0 0 270
