z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 headgroup2_3 normarea tetherg headgroup1_3 headgroup1_2 defect_hg methyl1 tether defect_hc methyl2 headgroup1 summol water waterperc
28.0 0.000616 15.333288 1.341161 0.0 8.134525 0.0 0.0 0.0 45.119927 2.449911 0.0 1.410091 0.462735 0.010824 2.954564 0.859029 0.004807 1.771649 34.7332 10.386727 0.230202655248
28.5 0.001036 14.909024 1.326424 0.0 9.409722 0.0 0.0 0.0 45.119927 2.571342 0.0 1.367644 0.474439 0.016267 2.546261 0.994331 0.007544 1.725201 35.349235 9.770692 0.21654937518
29.0 0.001719 14.489536 1.311129 0.000653 10.764669 0.0 0.0 0.0 45.119927 2.659448 0.0 1.311661 0.48442 0.024088 2.127167 1.138464 0.01167 1.660534 35.985158 9.134769 0.202455314256
29.5 0.002813 14.075046 1.295292 0.001381 12.18178 0.0 0.0 0.0 45.119927 2.710474 0.0 1.243856 0.492806 0.035148 1.704717 1.289742 0.017791 1.579665 36.630511 8.489416 0.188152254768
30.0 0.004539 13.665768 1.27893 0.002117 13.640112 0.0 0.0 0.0 45.119927 2.722205 0.0 1.166247 0.499748 0.050537 1.286458 1.446185 0.026732 1.485089 37.274667 7.84526 0.173875724577
30.5 0.007221 13.261906 1.262061 0.002862 15.115984 0.0 0.0 0.0 45.119927 2.69413 0.0 1.081059 0.50541 0.071599 0.879714 1.605588 0.039585 1.379655 37.906774 7.213153 0.159866238259
31.0 0.011328 12.863652 1.244704 0.003613 16.583739 0.0 0.0 0.0 45.119927 2.627473 0.0 0.990627 0.509961 0.099955 0.491267 1.765616 0.057771 1.266417 38.516123 6.603804 0.146361141054
31.5 0.017525 12.471191 1.226879 0.004369 18.016603 0.0 0.0 0.0 45.119927 2.525109 0.0 0.897286 0.513565 0.137499 0.127077 1.923908 0.083097 1.148496 39.092604 6.027323 0.133584502475
32.0 0.026736 12.084695 1.208607 0.005129 19.38758 0.0 0.0 0.0 45.119927 2.391354 0.0 0.803283 0.516376 0.186379 -0.207943 2.078178 0.117799 1.02893 39.627103 5.492824 0.121738317529
32.5 0.040229 11.704328 1.189912 0.005893 20.67033 0.0 0.0 0.0 45.119927 2.231667 0.0 0.710683 0.518537 0.24894 -0.510068 2.226317 0.164585 0.91055 40.111903 5.008024 0.110993619294
33.0 0.059701 11.330242 1.170815 0.006659 21.839968 0.0 0.0 0.0 45.119927 2.052282 0.0 0.621306 0.520174 0.327636 -0.776842 2.366473 0.226636 0.795868 40.540918 4.579009 0.10148529274
33.5 0.087389 10.962577 1.151343 0.007425 22.873759 0.0 0.0 0.0 45.119927 1.8598 0.0 0.536669 0.521396 0.424901 -1.007068 2.497127 0.307581 0.686998 40.909897 4.21003 0.0933075534453
34.0 0.12618 10.601464 1.131518 0.008191 23.751681 0.0 0.0 0.0 45.119927 1.6608 0.0 0.457963 0.522294 0.542981 -1.200735 2.61713 0.411416 0.585608 41.216491 3.903436 0.0865124626642
34.5 0.179726 10.247022 1.111367 0.008955 24.456851 0.0 0.0 0.0 45.119927 1.46147 0.0 0.386034 0.522944 0.683724 -1.358884 2.725728 0.542372 0.492896 41.460205 3.659722 0.0811109911592
35.0 0.252553 9.899361 1.090916 0.009717 24.975825 0.0 0.0 0.0 45.119927 1.267313 0.0 0.321398 0.523409 0.848356 -1.483432 2.822558 0.704705 0.409602 41.642281 3.477646 0.0770756122899
35.5 0.350144 9.558576 1.070191 0.010475 25.29879 0.0 0.0 0.0 45.119927 1.082928 0.0 0.26426 0.523735 1.03723 -1.576975 2.907626 0.90243 0.336039 41.765449 3.354478 0.0743458206393
36.0 0.478996 9.224755 1.04922 0.011228 25.419682 0.0 0.0 0.0 45.119927 0.911877 0.0 0.214558 0.523962 1.249605 -1.642578 2.981261 1.138981 0.272146 41.833693 3.286234 0.0728333181922
36.5 0.64662 8.897973 1.028029 0.011974 25.33624 0.0 0.0 0.0 45.119927 0.756648 0.0 0.172002 0.524116 1.483443 -1.683575 3.044061 1.416827 0.217552 41.85191 3.268017 0.0724295719716
37.0 0.861474 8.578294 1.006645 0.012713 25.050023 0.0 0.0 0.0 45.119927 0.61869 0.0 0.136129 0.52422 1.735279 -1.703389 3.096831 1.737063 0.17165 41.825622 3.294305 0.0730121970277
37.5 1.132811 8.265773 0.985097 0.013444 24.566401 0.0 0.0 0.0 45.119927 0.498508 0.0 0.106355 0.524289 2.000178 -1.705377 3.140523 2.099005 0.133662 41.760669 3.359258 0.074451760527
38.0 1.470438 7.960451 0.963411 0.014165 23.894506 0.0 0.0 0.0 45.119927 0.395815 0.0 0.082017 0.524334 2.271791 -1.692717 3.176164 2.499837 0.102713 41.662925 3.457002 0.0766180760886
38.5 1.884368 7.662363 0.930351 0.014875 23.047127 0.0 0.0 0.0 45.119927 0.309694 0.0 0.062425 0.524363 2.542547 -1.681759 3.204811 2.93434 0.077888 41.513393 3.606534 0.0799321771952
