135
0.3461 0.3758 0.8369 0.2856 0.2974 0.0075 0.7679 0.773 0.3762 0.2179 0.0766 0.1488 0.1347 0.6752 0.0757 0.1066 0.0264 0.3544 0.2366 0.2095 0.6728 0.4998 0.7205 0.5486 0.4556 0.7034 0.07 0.5567 0.8985 0.3325 0.8767 0.0485 0.8017 0.8804 0.9635 0.486 0.7032 0.1094 0.8351 0.9423 0.0912 0.1748 0.418 0.9824 0.7635 0.7592 0.3064 0.8907 0.6719 0.2684 0.1324 
0.356 0.8498 0.5862 0.3159 0.1447 0.9585 0.089 0.0937 0.3205 0.8751 0.7378 0.1471 0.1722 0.4715 0.6358 0.0865 0.8097 0.158 0.409 0.607 0.622 0.6161 0.604 0.8873 0.859 0.9506 0.7428 0.5542 0.5431 0.594 0.2587 0.6465 0.9289 0.7652 0.7661 0.6053 0.9922 0.6459 0.3956 0.2521 0.2248 0.8399 0.9429 0.9913 0.6142 0.0748 0.5407 0.9827 0.1877 0.9975 0.7424 
0.3061 0.2358 0.5011 0.7709 0.0347 0.3655 0.909 0.0437 0.8915 0.5997 0.5038 0.0036 0.4844 0.0145 0.9844 0.0003 0.0327 0.3296 0.6035 0.0236 0.2412 0.2171 0.0106 0.7012 0.1346 0.0885 0.5724 0.8736 0.3155 0.077 0.6505 0.6582 0.0523 0.0144 0.6893 0.907 0.6429 0.8744 0.407 0.2237 0.326 0.1464 0.0841 0.4706 0.25 0.6908 0.6255 0.9785 0.8746 0.9667 0.9823 
0.0728 0.3675 0.9469 0.2007 0.6859 0.6851 0.014 0.422 0.099 0.9447 0.3469 0.026 0.1014 0.0331 0.4141 0.1767 0.0085 0.0292 0.6197 0.3773 0.695 0.8812 0.1886 0.1371 0.3596 0.9668 0.1218 0.1324 0.0577 0.1949 0.6967 0.3172 0.757 0.2146 0.3224 0.1089 0.6064 0.1138 0.5476 0.4944 0.1424 0.0369 0.2987 0.7805 0.3524 0.7802 0.2688 0.771 0.7001 0.7374 0.7493 
0.462 0.7225 0.5963 0.7162 0.7571 0.0575 0.925 0.0035 0.4615 0.3328 0.6585 0.0985 0.336 0.068 0.0728 0.2965 0.8764 0.5546 0.9318 0.8251 0.6535 0.4911 0.3219 0.2092 0.966 0.4387 0.5739 0.5882 0.6975 0.3001 0.7344 0.5172 0.6359 0.4588 0.0229 0.3616 0.8865 0.9039 0.5631 0.5254 0.3552 0.1266 0.4494 0.2997 0.3161 0.5918 0.243 0.8769 0.0324 0.4289 0.82 
0.1755 0.5555 0.2213 0.4556 0.2227 0.9263 0.9392 0.5957 0.9275 0.4756 0.3148 0.3471 0.1322 0.0712 0.6884 0.0805 0.2097 0.3486 0.484 0.6091 0.632 0.6166 0.257 0.1116 0.4142 0.5097 0.022 0.5537 0.8981 0.3724 0.9267 0.9053 0.8997 0.7994 0.9832 0.989 0.0686 0.1893 0.3638 0.9425 0.031 0.7948 0.4017 0.0443 0.0635 0.2592 0.3064 0.1706 0.6719 0.2758 0.1504 
0.9728 0.2673 0.9501 0.2604 0.6459 0.3889 0.015 0.623 0.097 0.9447 0.3446 0.026 0.1014 0.0601 0.4141 0.1007 0.0585 0.0592 0.8192 0.8777 0.695 0.8812 0.4886 0.3377 0.3508 0.2312 0.4109 0.7303 0.9826 0.0844 0.953 0.9796 0.2266 0.3707 0.5244 0.0594 0.6434 0.0553 0.2604 0.306 0.9785 0.0661 0.5222 0.4284 0.9968 0.1966 0.6148 0.7297 0.3062 0.8072 0.4279 
0.4388 0.4387 0.0553 0.4654 0.3859 0.6644 0.4931 0.5969 0.0654 0.9535 0.908 0.3215 0.6216 0.0802 0.4161 0.53 0.0082 0.5694 0.4275 0.8089 0.8328 0.5168 0.048 0.1469 0.5964 0.9367 0.1258 0.1324 0.0577 0.9949 0.6967 0.3072 0.7071 0.2646 0.6224 0.1089 0.0864 0.1138 0.547 0.4979 0.6444 0.0769 0.2487 0.7871 0.1524 0.0908 0.8255 0.9785 0.8742 0.8664 0.982 
0.306 0.9428 0.5812 0.2529 0.5243 0.3685 0.419 0.0937 0.5575 0.9917 0.9989 0.4338 0.9446 0.0145 0.9234 0.0007 0.0004 0.2576 0.4831 0.8639 0.6043 0.4121 0.0086 0.3017 0.1146 0.0885 0.0744 0.8892 0.0955 0.05 0.5627 0.4881 0.0023 0.0082 0.5893 0 0.9589 0.784 0 0.6239 0.378 0.166 0.0047 0.9106 0 0.6737 0.2621 0.7151 0.1031 0.0374 0.0453 
0.5488 0.671 0.162 0.7757 0.8239 0.8821 0.697 0.9949 0.855 0.1899 0.6755 0.456 0.8015 0.6476 0.7662 0.5485 0.5284 0.1095 0.2215 0.1959 0.9175 0.4759 0.9113 0.2718 0.122 0.7985 0.092 0.6696 0.7901 0.6302 0.6052 0.962 0.8719 0.816 0.6656 0.8436 0.1938 0.4178 0.1114 0.9245 0.073 0.1899 0.8551 0.9282 0.9402 0.5574 0.1638 0.5385 0.3127 0.7058 0.9895 
0.422 0.7226 0.5963 0.7162 0.0671 0.0575 0.822 0.0935 0.4517 0.3986 0.6554 0.0915 0.336 0.078 0.9726 0.8067 0.8964 0.4996 0.901 0.1291 0.9135 0.9911 0.5259 0.2098 0.966 0.6377 0.5739 0.0782 0.9325 0.3064 0.7149 0.6672 0.6359 0.4588 0.0556 0.3676 0.0965 0.9039 0.5476 0.9974 0.1444 0.0767 0.2987 0.0878 0.2524 0.0208 0.8255 0.2784 0.8742 0.9662 0.9529 
0.7728 0.2673 0.0157 0.2604 0.6859 0.6859 0.014 0.622 0.099 0.9447 0.3049 0.026 0.1114 0.0751 0.4171 0.1767 0.0085 0.0092 0.8166 0.8173 0.1955 0.7813 0.1886 0.3371 0.3516 0.9667 0.1258 0.5324 0.0577 0.1949 0.6967 0.3172 0.4771 0.2846 0.3224 0.1089 0.4064 0.1138 0.5431 0.5227 0.3546 0.3366 0.2194 0.2999 0.3834 0.5618 0.243 0.8759 0.2366 0.4289 0.826 
