z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 headgroup2_3 normarea tetherg headgroup1_3 headgroup1_2 defect_hg methyl1 tether defect_hc methyl2 headgroup1 summol water waterperc
32.0 0.000495 0.020918 0.416614 0.128466 34.69045 0.0 0.0 0.0 72.518047 12.788488 0.0 4.665866 0.012494 0.009 4.749301 0.027924 0.001645 5.524962 63.036623 9.481424 0.130745716304
32.5 0.000858 0.012191 0.282524 0.133721 41.530083 0.0 0.0 0.0 72.518047 11.334371 0.0 3.815855 0.012495 0.014142 3.287649 0.033433 0.002709 4.438049 64.89808 7.619967 0.105076836942
33.0 0.001465 0.006968 0.187932 0.138842 48.065162 0.0 0.0 0.0 72.518047 9.528176 0.0 3.002608 0.012495 0.021897 2.172291 0.0387 0.004395 3.430706 66.611637 5.90641 0.0814474499017
33.5 0.002467 0.003906 0.122617 0.143859 53.962415 0.0 0.0 0.0 72.518047 7.596762 0.0 2.267742 0.012495 0.033409 1.368216 0.043458 0.007027 2.5476 68.111973 4.406074 0.0607583102728
34.0 0.004095 0.002147 0.078466 0.148804 58.986378 0.0 0.0 0.0 72.518047 5.744057 0.0 1.640419 0.012495 0.050228 0.820553 0.047518 0.011068 1.814272 69.3605 3.157547 0.043541533875
34.5 0.006702 0.001157 0.049247 0.153709 63.023395 0.0 0.0 0.0 72.518047 4.118495 0.0 1.134459 0.012495 0.074411 0.468121 0.050793 0.017178 1.237111 70.347273 2.170774 0.0299342589852
35.0 0.010814 0.000612 0.030313 0.158605 66.077404 0.0 0.0 0.0 72.518047 2.799888 0.0 0.748889 0.012495 0.108626 0.253836 0.053289 0.026271 0.806515 71.087557 1.43049 0.0197259862776
35.5 0.017206 0.000317 0.018297 0.163524 68.243199 0.0 0.0 0.0 72.518047 1.804565 0.0 0.471263 0.012495 0.156257 0.130734 0.055086 0.039585 0.50203 71.614558 0.903489 0.0124588159414
36.0 0.026993 0.000161 0.010831 0.168496 69.668292 0.0 0.0 0.0 72.518047 1.102498 0.0 0.28238 0.012495 0.221489 0.063914 0.056309 0.058774 0.29801 71.970642 0.547405 0.00754853478059
36.5 0.041757 8e-05 0.006287 0.173555 70.515112 0.0 0.0 0.0 72.518047 0.638406 0.0 0.160958 0.012495 0.309367 0.029646 0.057095 0.085983 0.168517 72.199258 0.318789 0.00439599538581
