# bilayer.tether_hg_zaxis bilayer.tether_hg_area bilayer.tether_hg_msigma_area bilayer.tether_hg_psigma_area
9.250000000000000000e+01 0.000000000000000000e+00 9.304755913064465034e+00 1.020428070490707562e+01
9.300000000000000000e+01 0.000000000000000000e+00 9.441336858082697958e+00 1.041345856534933922e+01
9.350000000000000000e+01 0.000000000000000000e+00 9.539480220640902175e+00 1.061506620095053144e+01
9.400000000000000000e+01 0.000000000000000000e+00 9.634893137731369350e+00 1.085144466899815718e+01
9.450000000000000000e+01 0.000000000000000000e+00 9.730649819784851218e+00 1.104945719225183609e+01
9.500000000000000000e+01 0.000000000000000000e+00 9.816675242231720944e+00 1.124458578842071610e+01
9.550000000000000000e+01 0.000000000000000000e+00 9.894067012318412679e+00 1.141198523703573464e+01
9.600000000000000000e+01 0.000000000000000000e+00 9.992381367354814969e+00 1.157042549575145785e+01
9.650000000000000000e+01 0.000000000000000000e+00 1.006351439355875499e+01 1.171277839691838984e+01
9.700000000000000000e+01 0.000000000000000000e+00 1.015340272862189508e+01 1.185380645129347066e+01
9.750000000000000000e+01 0.000000000000000000e+00 1.022465227281915467e+01 1.193893767061351951e+01
9.800000000000000000e+01 0.000000000000000000e+00 1.026974447523801892e+01 1.199555887588286929e+01
9.850000000000000000e+01 0.000000000000000000e+00 1.032890135020707589e+01 1.203642071330421714e+01
9.900000000000000000e+01 0.000000000000000000e+00 1.039296295390643010e+01 1.204565471623796391e+01
9.950000000000000000e+01 0.000000000000000000e+00 1.043915521768756705e+01 1.202884406014954344e+01
1.000000000000000000e+02 0.000000000000000000e+00 1.047760993993098211e+01 1.199302940660303562e+01
1.005000000000000000e+02 0.000000000000000000e+00 1.051334802495241938e+01 1.192470963420273833e+01
1.010000000000000000e+02 0.000000000000000000e+00 1.054448712245165964e+01 1.189238448778514368e+01
1.015000000000000000e+02 0.000000000000000000e+00 1.056919575562671199e+01 1.185634153259153756e+01
1.020000000000000000e+02 0.000000000000000000e+00 1.057704450124018081e+01 1.181451891789285469e+01
1.025000000000000000e+02 0.000000000000000000e+00 1.055660711395928786e+01 1.171886923774325417e+01
1.030000000000000000e+02 0.000000000000000000e+00 1.049506443971320913e+01 1.158424858542003122e+01
1.035000000000000000e+02 0.000000000000000000e+00 1.038729941956903069e+01 1.142785702833609029e+01
1.040000000000000000e+02 0.000000000000000000e+00 1.025654271060869682e+01 1.129954205078225549e+01
1.045000000000000000e+02 0.000000000000000000e+00 1.009733595458472877e+01 1.122425779881435481e+01
1.050000000000000000e+02 0.000000000000000000e+00 9.902127333777329454e+00 1.111630745326346315e+01
1.055000000000000000e+02 0.000000000000000000e+00 9.648430115501096083e+00 1.098480726063778867e+01
1.060000000000000000e+02 0.000000000000000000e+00 9.359406097973167249e+00 1.080472716654655763e+01
1.065000000000000000e+02 0.000000000000000000e+00 9.066499495507665429e+00 1.053083767426207551e+01
1.070000000000000000e+02 0.000000000000000000e+00 8.754135346816630303e+00 1.024734727508182708e+01
1.075000000000000000e+02 0.000000000000000000e+00 8.427511851771097184e+00 9.942422605785269596e+00
1.080000000000000000e+02 0.000000000000000000e+00 8.094188617348434533e+00 9.582737907242103503e+00
1.085000000000000000e+02 0.000000000000000000e+00 7.743622202998156290e+00 9.227768131058056156e+00
1.090000000000000000e+02 0.000000000000000000e+00 7.393184832548635121e+00 8.854661251821106305e+00
1.095000000000000000e+02 0.000000000000000000e+00 7.037300343756070831e+00 8.436690320440668245e+00
1.100000000000000000e+02 0.000000000000000000e+00 6.659637313172273920e+00 8.005933643683166068e+00
1.105000000000000000e+02 0.000000000000000000e+00 6.271348019715038191e+00 7.533276072560585845e+00
1.110000000000000000e+02 0.000000000000000000e+00 5.897217924225096830e+00 7.074512409483260988e+00
1.115000000000000000e+02 0.000000000000000000e+00 5.543134094219594132e+00 6.640262534539646211e+00
1.120000000000000000e+02 0.000000000000000000e+00 5.219773471809030063e+00 6.192752588204006869e+00
1.125000000000000000e+02 0.000000000000000000e+00 4.914984309135387974e+00 5.805754470536399481e+00
1.130000000000000000e+02 0.000000000000000000e+00 4.599175349472071517e+00 5.439158695762380091e+00
1.135000000000000000e+02 0.000000000000000000e+00 4.294729402584634315e+00 5.075011064299196129e+00
1.140000000000000000e+02 0.000000000000000000e+00 3.986853067024310970e+00 4.737298180669870185e+00
1.145000000000000000e+02 0.000000000000000000e+00 3.739900452175051626e+00 4.431713340208925267e+00
1.150000000000000000e+02 0.000000000000000000e+00 3.445454014173579438e+00 4.160930643924364070e+00
1.155000000000000000e+02 0.000000000000000000e+00 3.159536402079646145e+00 3.899913505741424924e+00
1.160000000000000000e+02 0.000000000000000000e+00 2.874628222653170972e+00 3.668679615963660989e+00
1.165000000000000000e+02 0.000000000000000000e+00 2.633473068635956427e+00 3.457895935112248686e+00
1.170000000000000000e+02 0.000000000000000000e+00 2.388377060544582431e+00 3.257278804828347418e+00
1.175000000000000000e+02 0.000000000000000000e+00 2.139537902531638114e+00 3.063838166801770679e+00
1.180000000000000000e+02 0.000000000000000000e+00 1.929571683824624184e+00 2.879053692485408433e+00
1.185000000000000000e+02 0.000000000000000000e+00 1.721917482897876939e+00 2.694124610657889551e+00
1.190000000000000000e+02 0.000000000000000000e+00 1.560055863758065930e+00 2.524798367316610559e+00
1.195000000000000000e+02 0.000000000000000000e+00 1.422492506390122591e+00 2.352353582464590254e+00
1.200000000000000000e+02 0.000000000000000000e+00 1.284469290336065939e+00 2.189067745364227324e+00
1.205000000000000000e+02 0.000000000000000000e+00 1.144332428122591727e+00 2.024601451475025016e+00
1.210000000000000000e+02 0.000000000000000000e+00 1.039972033776449978e+00 1.865943722469774801e+00
1.215000000000000000e+02 0.000000000000000000e+00 9.387412226385071223e-01 1.720424988173779646e+00
1.220000000000000000e+02 0.000000000000000000e+00 8.445759269016046566e-01 1.576111571675191447e+00
1.225000000000000000e+02 0.000000000000000000e+00 7.408774690675968833e-01 1.430976555623176383e+00
1.230000000000000000e+02 0.000000000000000000e+00 6.485075744109309870e-01 1.294173949916886945e+00
1.235000000000000000e+02 0.000000000000000000e+00 5.597079486625677891e-01 1.161350709307873652e+00
1.240000000000000000e+02 0.000000000000000000e+00 4.740397946123981465e-01 1.034208250990570566e+00
1.245000000000000000e+02 0.000000000000000000e+00 3.953662522358588616e-01 9.095028296744419594e-01
1.250000000000000000e+02 0.000000000000000000e+00 3.129479113648050426e-01 7.851791919596213809e-01
1.255000000000000000e+02 0.000000000000000000e+00 2.385232606173589287e-01 6.818442913381639325e-01
1.260000000000000000e+02 0.000000000000000000e+00 1.679776247071050055e-01 5.851945331528330962e-01
1.265000000000000000e+02 0.000000000000000000e+00 9.976343765559847476e-02 4.886188847903293331e-01
1.270000000000000000e+02 0.000000000000000000e+00 3.625557321022770257e-02 4.143256634356873302e-01
1.275000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.390132697901228065e-01
1.280000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.741589775923085615e-01
1.285000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.095072168706103855e-01
1.290000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.634304246550206396e-01
1.295000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.189835329818128146e-01
1.300000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 8.488010042709133451e-02
1.305000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.435984589283029272e-02
1.310000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.896370185203229683e-02
1.315000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.201202616480692535e-02
1.320000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.223329919439581366e-03
1.325000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.330000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.335000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.340000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.345000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.350000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.355000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.360000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.365000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.370000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.375000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.380000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.385000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.390000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.395000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.405000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.410000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
