# bilayer.substrate_zaxis bilayer.substrate_area bilayer.substrate_msigma_area bilayer.substrate_psigma_area
1.165000000000000000e+02 0.000000000000000000e+00 9.918253101832306129e-01 6.188735688613567376e+00
1.170000000000000000e+02 0.000000000000000000e+00 1.006683632990238442e+00 6.247507614082853600e+00
1.175000000000000000e+02 0.000000000000000000e+00 9.932335164266056227e-01 6.331706100183482455e+00
1.180000000000000000e+02 0.000000000000000000e+00 9.728628502045090221e-01 6.187616116708658076e+00
1.185000000000000000e+02 0.000000000000000000e+00 1.002848670778366591e+00 5.774762599631646509e+00
1.190000000000000000e+02 0.000000000000000000e+00 9.714002271270114619e-01 5.485722245005548281e+00
1.195000000000000000e+02 0.000000000000000000e+00 9.949041681628633116e-01 5.322037292000247888e+00
1.200000000000000000e+02 0.000000000000000000e+00 9.610355586475840539e-01 5.344002536939772341e+00
1.205000000000000000e+02 0.000000000000000000e+00 9.724473127730218769e-01 5.365835581629845308e+00
1.210000000000000000e+02 0.000000000000000000e+00 8.719133523973203737e-01 5.346398988097844196e+00
1.215000000000000000e+02 0.000000000000000000e+00 8.130725923504558139e-01 5.409522163172368892e+00
1.220000000000000000e+02 0.000000000000000000e+00 8.055692587007411420e-01 5.283725611199134420e+00
1.225000000000000000e+02 0.000000000000000000e+00 8.007355028590862345e-01 4.964361264524049133e+00
1.230000000000000000e+02 0.000000000000000000e+00 7.962238944217810976e-01 4.904139481522492794e+00
1.235000000000000000e+02 0.000000000000000000e+00 7.921250696835619998e-01 4.904280185897065714e+00
1.240000000000000000e+02 0.000000000000000000e+00 7.101013998441377817e-01 4.897393018996130110e+00
1.245000000000000000e+02 0.000000000000000000e+00 6.814049850205143866e-01 4.880013317726208832e+00
1.250000000000000000e+02 0.000000000000000000e+00 5.810779913376799000e-01 4.713375011194331776e+00
1.255000000000000000e+02 0.000000000000000000e+00 5.968216258150863540e-01 4.539061353525324805e+00
1.260000000000000000e+02 0.000000000000000000e+00 6.080604269162750430e-01 4.598811155063500244e+00
1.265000000000000000e+02 0.000000000000000000e+00 5.921762949166820000e-01 4.604591444156472591e+00
1.270000000000000000e+02 0.000000000000000000e+00 5.781795129576103864e-01 4.602959043710623810e+00
1.275000000000000000e+02 0.000000000000000000e+00 5.805025708464970347e-01 4.799169906231665728e+00
1.280000000000000000e+02 0.000000000000000000e+00 5.530566031835946195e-01 4.975761191587698029e+00
1.285000000000000000e+02 0.000000000000000000e+00 5.570637218378156064e-01 5.136629645432281066e+00
