Chisq frac_deut l_lipid sigma background0 scale0 sld_solvent0 vf0 background1 scale1 sld_solvent1 background2 scale2 sld_solvent2 
-1560.181765353674 0.8969926917760295 11.14970932676513 2.7746055933391993 0.06474049257446697 5.19099075149088 6.303641393543865 0.03772343441746513 0.6680533014618644 7.155883892119113 2.830978177003261 1.085117142225849 3.7217895523697826 -0.542323275562554 
-2070.9061986124607 0.8629285470910184 11.023575309508065 2.986780164926208 0.06777616015071443 5.882287617982392 6.364193287804758 0.021742406992778813 0.6686159308028341 9.287384671391946 2.3015900665395224 1.1104869187812167 7.197117511219173 -0.5475742939687114 
-4022.5864972094396 0.7926552362328274 9.12342003221595 2.804168224732949 0.06682853831087282 3.8174716984695345 6.254288898807901 0.0338693325750136 0.6685929337651929 6.6044655714451705 1.560486030019635 1.0809922704058517 7.013682844737993 -0.5411656209362681 
-1993.4422609367618 0.8035293296957362 10.80263663028409 2.4695073274073045 0.0659033771101809 4.616007652805271 6.233505812861849 0.021448990468782177 0.6756606461789912 6.669244242739714 1.385998474783097 1.094825919694285 7.987096127260267 -0.5481512557137536 
-4775.49514500308 0.7416469682518441 9.621274996741846 2.471745816488918 0.06610566797259024 1.0858668722659108 6.210793356407144 0.07523605111118661 0.6910921003774804 2.208680650325836 1.0088013199067987 1.0623966865327572 3.285004387381838 -0.5590185340417497 
-1621.9816961840206 0.8735771982399979 11.133467902172132 2.4122313235152033 0.06720999787061001 7.2357197811364085 6.297175603540938 0.0212006528165058 0.6760356613969004 4.4740323248118 1.1140364327526813 1.1090417078011134 6.768513325017144 -0.5424533693549264 
-1623.956669680064 0.9553540579332453 9.561993167687252 2.9020383084258254 0.06115260582035737 14.86904612654246 6.26704440207774 0.028901820072244715 0.6708271751502157 4.971687542427573 1.8576070130019258 1.1008279783345583 5.365896165330043 -0.5556211149291695 
-1439.512733952317 0.9179928705129613 9.535823500661003 2.8525401357258087 0.06437993507472392 11.603178779137446 6.272916274465977 0.024568720009590272 0.6813840305598861 4.834625864355249 1.3005708250901598 1.075902962573577 6.869636410134846 -0.5583838169926243 
-3828.822981842853 0.8286471667138623 9.318824823987526 2.776342094781011 0.0667145494625523 1.9115885455428978 6.389660646059432 0.06286299652606399 0.6610768993362209 4.441215034758874 2.081863515034427 1.0862243296091108 3.295090410342686 -0.5577559621280693 
-3162.2825351010447 0.7316011613098359 10.652265088260236 2.6126999986848682 0.06847692067152254 1.6747924305194264 6.351819511891222 0.03184681937870888 0.6748945271181586 8.447074993994798 1.8476567600816483 1.093798067213998 6.611165025660181 -0.5415503070706935 
-3903.682610991153 0.7192324560290593 9.669745931320914 2.817426002099951 0.0696799824754416 2.642329481156061 6.202922461112205 0.027425066169940646 0.6754498255981026 9.687894901175817 1.5214511594432094 1.0933848990274417 9.099642163849735 -0.5565788328966285 
-3058.962439287233 0.7251641301066557 10.741582548569895 2.2748090869065787 0.06800499715018812 1.8133854337351383 6.3215421566962195 0.03199843719744446 0.6780828686247051 5.760241167296423 1.3557297487989775 1.1064847216555618 6.588085659799715 -0.5414024906652202 
-1457.3979425425061 0.9050807271727718 11.663762391773874 2.238012995450275 0.0621441021566102 7.453627675479119 6.258568815805792 0.026560551953572785 0.6754774000539571 3.886759866630894 1.618231900496441 1.1067505268294717 4.527730461468117 -0.5569639456139758 
-2183.1511459199887 0.8983659479622759 9.657712601968326 2.696583360515168 0.06576978037713953 10.25161276692037 6.3569889997810645 0.019846446567401664 0.6689894421223834 6.114220859462812 1.2380687300447808 1.0730899008116837 9.24670046922502 -0.5458695935457861 
-1569.4144985545943 0.8589814222905638 10.180591041400975 2.7847433345908135 0.06596586004432609 6.116397280184221 6.31179993394681 0.02452478341899378 0.6811779475409245 4.867968402694124 1.217528096304559 1.0885004978056068 6.9464617925575975 -0.5542992379082747 
